timestamp_utc,chi_amplitude,phase_radians,storm_phase,density_p_cm3,speed_km_s,bz_nT,bt_nT,source,chi_at_boundary,chi_violation,chi_status
2026-03-01 00:26:00.000,0.0802,1.1345,post-storm,2.71,399.7,,,ACE/DSCOVR,0,0,BELOW
2026-03-01 00:59:00.000,0.0801,2.5744,post-storm,2.22,400.2,,,ACE/DSCOVR,0,0,BELOW
2026-03-01 01:40:00.000,0.0816,4.3633,post-storm,2.66,397.4,,,ACE/DSCOVR,0,0,BELOW
2026-03-01 02:41:00.000,0.0836,0.7418,post-storm,0.13,405.7,,,ACE/DSCOVR,0,0,BELOW
2026-03-01 03:41:00.000,0.1178,3.3598,post-storm,2.74,369.4,-2.36,12.64,ACE/DSCOVR,0,0,BELOW
2026-03-01 04:29:00.000,0.1069,5.4542,pre,1.28,404.5,-1.74,20.59,ACE/DSCOVR,0,0,BELOW
2026-03-01 05:06:00.000,0.1101,0.7854,pre,3.11,412.3,-1.93,279.07,ACE/DSCOVR,0,0,BELOW
2026-03-01 05:29:00.000,0.1097,1.789,pre,2.75,411.3,-2.43,285.86,ACE/DSCOVR,0,0,BELOW
2026-03-01 05:34:00.000,0.1078,2.0071,pre,2.75,406.6,0.2,280.99,ACE/DSCOVR,0,0,BELOW
2026-03-01 05:57:00.000,0.113,3.0107,pre,3.47,419.3,-3.42,241.58,ACE/DSCOVR,0,0,BELOW
2026-03-01 06:22:00.000,0.1141,4.1015,post-storm,3.05,378.2,-3.39,11.55,ACE/DSCOVR,0,0,BELOW
2026-03-01 06:42:00.000,0.1148,4.9742,pre,2.32,376.4,0.92,54.07,ACE/DSCOVR,0,0,BELOW
2026-03-01 07:20:00.000,0.1094,0.3491,pre,1.18,389.4,-0.7,274.7,ACE/DSCOVR,0,0,BELOW
2026-03-01 07:21:00.000,0.1149,0.3927,pre,1.17,376.3,-0.08,282.72,ACE/DSCOVR,0,0,BELOW
2026-03-01 07:39:00.000,0.1073,1.1781,post-storm,0.63,394.5,2.75,1.94,ACE/DSCOVR,0,0,BELOW
